@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
1.17,6.5,17.0,157.0,49.0,68.0,72.0,39.0,50.0,205.0,70.0,65.0,70.0,70.0,70.0,7.0,1.0,6.0,1.0,1.0,7.0,-6.0,0.0,home
2.45,3.0,3.1,137.0,52.0,52.0,57.0,36.0,49.0,159.0,44.0,49.0,64.0,46.0,64.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
1.44,4.2,7.5,156.0,49.0,53.0,38.0,38.0,65.0,135.0,60.0,52.0,37.0,37.0,46.0,4.0,0.0,4.0,1.0,0.0,4.0,-4.0,0.0,home
3.2,3.3,2.1,121.0,39.0,32.0,42.0,43.0,46.0,93.0,30.0,33.0,70.0,30.0,30.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
9.0,4.75,1.36,105.0,65.0,30.0,35.0,25.0,50.0,175.0,62.0,55.0,45.0,60.0,60.0,0.0,2.0,-2.0,0.0,2.0,0.0,2.0,1.0,away
3.3,3.25,2.2,129.0,40.0,39.0,57.0,47.0,43.0,121.0,45.0,37.0,58.0,49.0,35.0,0.2,1.2,-1.0,0.0,1.6,0.4,1.2,1.0,away
3.2,3.1,2.2,163.0,39.0,64.0,52.0,36.0,63.0,142.0,56.0,62.0,39.0,25.0,55.0,0.0,2.0,-2.0,0.0,2.0,0.0,2.0,1.0,away
1.62,3.6,6.0,190.0,42.0,68.0,70.0,64.0,58.0,160.0,55.0,57.0,57.0,43.0,60.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
3.8,3.4,1.95,179.0,65.0,67.0,52.0,50.0,62.0,170.0,62.0,53.0,55.0,50.0,67.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.88,3.0,2.6,123.0,47.0,49.0,34.0,26.0,48.0,195.0,70.0,70.0,70.0,55.0,70.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
2.38,3.25,3.0,147.0,47.0,52.0,52.0,47.0,48.0,200.0,70.0,70.0,70.0,60.0,70.0,1.2,1.0,0.2,0.6,1.0,1.2,-0.2,0.4,draw
3.25,3.3,2.25,137.0,40.0,51.0,37.0,38.0,48.0,151.0,54.0,41.0,63.0,63.0,47.0,1.6,1.4,0.2,0.6,0.6,1.6,-1.0,0.0,home
3.5,3.3,2.1,158.0,60.0,55.0,52.0,48.0,55.0,174.0,38.0,52.0,37.0,58.0,64.0,2.0,3.0,-1.0,0.0,3.0,2.0,1.0,1.0,away
2.38,3.2,3.0,174.0,41.0,53.0,53.0,59.0,62.0,195.0,50.0,70.0,70.0,70.0,55.0,3.0,0.0,3.0,1.0,0.0,3.0,-3.0,0.0,home
2.05,3.0,4.2,205.0,60.0,65.0,65.0,70.0,70.0,144.0,46.0,52.0,67.0,43.0,49.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
2.2,3.1,3.6,147.0,41.0,41.0,44.0,39.0,67.0,175.0,45.0,65.0,70.0,45.0,65.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
3.25,3.3,2.25,165.0,58.0,40.0,55.0,50.0,75.0,151.0,54.0,41.0,63.0,63.0,47.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
6.0,3.6,1.62,121.0,43.0,37.0,51.0,48.0,36.0,195.0,70.0,65.0,70.0,60.0,70.0,1.0,3.0,-2.0,0.0,3.0,1.0,2.0,1.0,away
2.65,2.9,2.9,150.0,30.0,30.0,65.0,55.0,65.0,187.0,63.0,69.0,52.0,40.0,78.0,0.0,3.0,-3.0,0.0,3.0,0.0,3.0,1.0,away
1.53,3.6,7.5,162.0,30.0,50.0,60.0,45.0,67.0,150.0,30.0,30.0,65.0,55.0,65.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.44,4.0,8.0,145.0,45.0,65.0,50.0,35.0,45.0,130.0,55.0,50.0,52.0,30.0,50.0,2.2,1.0,1.2,0.8,1.6,0.4,1.2,0.8,draw
1.4,4.33,6.5,145.0,41.0,63.0,37.0,44.0,38.0,131.0,43.0,55.0,60.0,33.0,43.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
